,px,py,px_dist,py_dist,ID,RA(catalog),DEC(catalog),RA(obs),DEC(obs),magV,"error("")",flag_is_double,flag_missing_pm,flag_is_outlier
0,906.4950441627834,3476.359558358587,901.6384604746527,3476.4656151366826,gaia:4005303195341066240,176.05511949821562,25.218353771582542,176.0551326562697,25.218338359014997,5.4400535,0.07010778968672746,False,False,False
1,5829.0336143212035,4010.992632460089,5829.187198023317,4011.2266420392157,gaia:4004753370808695168,178.85161478099792,25.522091282433834,178.85160393142021,25.52209093949882,6.59652,0.03526873744103186,False,False,False
2,6236.1775121581195,6262.152970004653,6237.320744746414,6265.2110950737815,gaia:4007129484155346048,179.08481240543543,26.679481514156418,179.08481114155188,26.679476936066663,6.7094803,0.016975162843038124,False,False,False
3,2086.85246782226,539.4157788522598,2083.9055525633717,536.4953998269311,gaia:4004194097346057728,176.75348885515555,23.72077463113892,176.75349563906335,23.720779118870336,6.8307886,0.02758491361883563,False,False,False
4,662.4401287011888,1131.353169658969,657.1633035362538,1128.8864781316652,gaia:4004885655800704896,175.94623423172257,24.010452664909398,175.94624899645925,24.010457328128897,7.101652,0.05137405054225841,True,False,False
5,2244.6538155689004,1905.1387459174168,2242.6034053482085,1904.0427167334515,gaia:4005003853301006848,176.83045731690015,24.42421625881059,176.8304145183144,24.42420154511368,7.475255,0.1499535819243352,True,False,False
6,9054.208722405683,1934.100617512882,9058.863284228002,1933.2051421185438,gaia:4002887121618245504,180.67467080428764,24.445872533069032,180.6746561143264,24.445881024392563,7.4202256,0.057028010119705014,False,False,False
7,8435.452641941421,1483.867897142641,8439.214253410868,1482.4884235759048,gaia:4001377011117110784,180.3228050201114,24.217976670738583,180.32282149182592,24.217975211028403,7.7536383,0.054334141990852,False,False,False
8,9066.062383493372,3646.959094335464,9070.770531697384,3647.70365537121,gaia:4006092919567224960,180.69328320307653,25.326053278383966,180.69327866097035,25.326056516712537,7.8511844,0.01882437227907139,False,False,False
9,7002.928644910208,3264.087652980362,7003.909593913512,3264.289180061482,gaia:4006028185820957312,179.51835816966602,25.13780575962828,179.51836113632535,25.137795705217798,8.120489,0.03746492598705219,False,False,False
10,7514.75811312713,2274.601815318548,7516.646176046173,2274.1954125002203,gaia:4004452860536251648,179.80589155603562,24.628174875505604,179.80591437645225,24.628164095335507,8.258394,0.0841619069176307,False,False,False
11,9079.81990857765,2693.665207916731,9084.541579303848,2693.5006491361873,gaia:4002968107521561600,180.69437213705362,24.836091588895002,180.69435104043725,24.836066450183374,8.193013,0.11375677324966868,False,False,False
12,1475.2104165726969,3255.269657986766,1471.746705803514,3255.1564374183613,gaia:4005104282520040064,176.3810889750535,25.11078609468033,176.3810859746512,25.110782048062568,8.2509165,0.017546551651602633,False,False,False
13,6097.9879676178,3944.678907943648,6098.249268181403,3944.955687294616,gaia:4004750999986749568,179.00472137151658,25.488139250916827,179.00469246954003,25.488148818703138,8.500068,0.10003740330954815,False,False,False
14,8451.155803669302,4399.487663289022,8454.853630399532,4400.891353066497,gaia:4006164697061764864,180.3477560085146,25.716280403292966,180.3477615566676,25.716293072982335,8.695113,0.049032386043327984,True,False,False
15,7465.825010705875,869.3076868687422,7468.208374227601,867.4259919547621,gaia:4001388281110523520,179.77433837109007,23.906013086564016,179.7743426291952,23.90600580907721,8.690912,0.029711620732626984,False,False,False
16,5649.177439959702,4473.434411067355,5649.347784965396,4473.833961340797,gaia:4004820063060838912,178.74878976833193,25.759482165071763,178.74878739879685,25.759474259003625,9.022675,0.029480494315612428,False,False,False
17,90.44777675166188,944.0514444027895,84.90839779455655,941.6942806374445,gaia:4004906065485481344,175.62724950237396,23.907381580742445,175.62723914857963,23.90735531583567,8.891636,0.10050644386206806,False,False,False
18,5454.6514872739035,680.7818107697226,5454.990759675102,679.2987973825029,gaia:4004292915953815936,178.64394070400505,23.81093788799619,178.6439386545548,23.8109252244085,9.068102,0.046085920277256893,False,False,False
19,1631.9192763091514,2688.5951059690556,1628.8072126604548,2687.991074284102,gaia:4005078963688883584,176.4762079521615,24.82115362877744,176.4761477690441,24.821162856142863,9.030977,0.1994307979641047,False,False,False
20,6924.111251407856,2929.282131376743,6925.005238381289,2929.3375561162056,gaia:4004524702453886336,179.47298464836874,24.965932650333915,179.4729627454705,24.965959648981908,9.53974,0.12065094097711873,False,False,False
21,4878.471930573841,6365.161976989748,4878.425923522389,6368.089117928639,gaia:4007177003673452928,178.30365504004592,26.73061490578309,178.30364108778681,26.730661775437586,9.244846,0.1745924247839985,False,False,False
22,2376.9207329384035,5771.454692071387,2374.2979185865465,5774.019823465713,gaia:4005884802632303232,176.86980168388857,26.41209653460821,176.86979951380548,26.41208277120537,9.261722,0.05003983213177624,False,False,False
23,4363.7666050852795,4414.187778731801,4363.672398619988,4414.420622745402,gaia:4005546668447216896,178.01607744622572,25.725897975145646,178.01608064053755,25.725894707756897,9.359977,0.01567425093007441,False,False,False
24,7891.524700106241,5026.552285827765,7894.3846123178555,5028.472281918216,gaia:4006375116099280640,180.03118776075343,26.04101598345592,180.03119526616487,26.041024837126802,9.177882,0.040065552317364514,False,False,False
25,9494.931960401458,3223.9288821059613,9500.135483374763,3224.3057142958787,gaia:4003072286247641728,180.93369756875148,25.105726027700037,180.93371032220122,25.105738951365772,9.62587,0.0623944443395243,False,False,False
26,7844.698351131086,948.069998628424,7847.6375365836375,946.1713919706035,gaia:4001342651378719488,179.98770907859478,23.945177484168127,179.9877334572821,23.945182407875212,9.327432,0.0821450498224405,True,False,False
27,2573.2982341136963,1983.6657112695032,2571.827098553182,1982.7895035750023,gaia:4005010690888725888,177.01541133470653,24.46724874317856,177.01540394015382,24.46724322543073,9.416819,0.03133143622567675,True,False,False
28,6527.949689937802,280.2650497098143,6529.36364986548,277.82580059883276,gaia:4001292314362192000,179.2465966631605,23.605053896762072,179.24659691006016,23.605056179385713,9.32563,0.008257709224655484,False,False,False
29,1064.952704627306,1232.758121510293,1060.324272126531,1230.4202149574758,gaia:4004888576378460032,176.17162420508444,24.067084841596415,176.1716470818183,24.067102442896513,9.378287,0.0983344065898294,False,False,False
30,6659.048959442831,2200.98862377929,6659.7933860773865,2200.7320236838727,gaia:4004438635604502016,179.32186737402418,24.59224947770036,179.3218429965161,24.592244486121555,9.469274,0.08179687902633455,False,False,False
31,1431.2534559743222,357.5106605566775,1427.1950604879667,354.12811247266427,gaia:4004107373366340480,176.38717436586725,23.621075198521474,176.3871687669049,23.62106164297731,9.419081,0.05217742668324385,False,True,False
32,7484.615732458862,2361.929227330191,7486.428531367987,2361.59509165228,gaia:4004454681602385664,179.78907247944767,24.673142521488504,179.7891215748666,24.67312948268599,9.176466,0.16732636995102043,False,False,False
33,6301.499004375023,2970.511961082712,6301.813895926175,2970.5815007611013,gaia:4004533601626123264,179.12003309274164,24.987807228648087,179.1200189107555,24.987812324998657,9.658062,0.049780523210184405,False,False,False
34,2581.5201112814466,1543.3812139450174,2579.8757705532607,1542.0949044508402,gaia:4004247110126979200,177.02354243109156,24.24105234807882,177.02353921910688,24.241051237986607,9.621505,0.011275535823580856,False,False,False
35,4702.802263417681,381.47826599956807,4702.692806963688,379.48245842853885,gaia:4003958149022588288,178.22270647078545,23.655338609466202,178.22271660984092,23.65533104436411,9.569359,0.04312215720314199,True,False,False
36,9142.454482478484,1411.999180444818,9147.088672340258,1410.6478950023443,gaia:4002862451326091392,180.7208506593244,24.177006209360272,180.72083907044905,24.17702508175716,9.518778,0.07787507934958438,False,False,False
37,1811.9270800654258,2285.146680902983,1809.1399760901963,2284.2281502331757,gaia:4005024778381497216,176.58225566146007,24.615583837328586,176.5822163913327,24.615584416431563,9.674749,0.12854183942373756,False,False,False
38,1965.4368872251462,1042.1601024799434,1962.4908316739343,1039.911424010002,gaia:4004213918619664896,176.68070004661405,23.978167133034106,176.68069455802544,23.978166530385764,9.582623,0.01818362204627472,False,False,False
39,6109.075892810391,24.124005193280937,6110.1368428784845,21.339407265754744,gaia:4001266991234980992,179.01173945664507,23.473534985936137,179.01173333182646,23.473550017300173,9.558807,0.05776887477783001,False,False,False
40,4506.107150665998,3859.259879164777,4506.086650289059,3859.2948718827956,gaia:4004787799266464128,178.09938090658628,25.441397005956656,178.09939031045718,25.441386224806486,9.7387085,0.04940612937314823,False,False,False
41,6630.597865472832,4593.563535464905,6631.449199653205,4594.408723405086,gaia:4006266539326294784,179.30885270361645,25.82133563189879,179.3088570104765,25.82131844276469,9.795948,0.06343525755253916,False,False,False
42,7404.300916895831,5964.14817717299,7406.759764989687,5967.194541281053,gaia:4006454688958014720,179.75575699536822,26.52463679339887,179.75575412283172,26.52464024250253,9.709943,0.015485082072850986,False,False,False
43,8380.99307541249,738.4397929696229,8384.741094261277,736.2342962712578,gaia:4001348904851138432,180.28845740876,23.83507521567661,180.28843348564902,23.83509103145068,9.544719,0.0971996111558607,False,False,False
44,4700.428732749442,624.6163516434194,4700.335157985971,623.0392125545013,gaia:4004335418950143488,178.22060134217116,23.78038054487135,178.2205981756402,23.78037718344875,9.700233,0.015976759254266292,False,False,False
45,2706.0460145306233,6135.267157519187,2703.741220099915,6138.322246442566,gaia:4005893697509091968,177.05553145122013,26.601662027114994,177.05552712315625,26.601678702217992,9.6984,0.06162577404938816,False,False,False
46,804.8577527759971,3094.553482127695,799.7869223667922,3094.2459338647686,gaia:4005264231397779456,176.00216440654904,25.02099944096214,176.00217877829442,25.020979433036914,9.692219,0.08594245634985558,False,False,False
47,1700.3261138540165,5778.386126204177,1696.5097797672038,5781.22624149908,gaia:4005804396549386240,176.48120743636363,26.409778685646092,176.48121402517125,26.409763609326642,9.706336,0.0582843499869153,True,False,False
48,7028.185117916794,2016.8079309305988,7029.42210819322,2016.3338229271174,gaia:4004445335753526144,179.53019197293622,24.49698814591992,179.53018185305018,24.496981869861006,9.752193,0.04011912398340754,False,False,False
49,5533.890514126349,4530.469041675796,5534.032812303032,4530.874463287557,gaia:4004821025133513344,178.68297222532294,25.788640218461005,178.6829690606792,25.788632404134898,9.86058,0.02994350117633108,False,False,False
50,7918.001085542263,6149.486266898551,7921.191601833307,6152.959289016165,gaia:4006432771740237696,180.05186917099974,26.618302485794402,180.05185456731292,26.61827342584776,9.730437,0.11468901648956689,False,False,False
