,px,py,px_dist,py_dist,ID,RA(catalog),DEC(catalog),RA(obs),DEC(obs),magV,"error("")",flag_is_double,flag_missing_pm,flag_is_outlier
0,906.4950441627834,3476.359558358587,901.6384604746377,3476.465615136656,gaia:4005303195341066240,176.05511949821562,25.218353771582503,176.05513265626968,25.218338359014957,5.4400535,0.07010778966825637,False,False,False
1,5829.0336143212035,4010.992632460089,5829.1871980233145,4011.226642039225,gaia:4004753370808695168,178.85161478099792,25.52209128243385,178.85160393142021,25.522090939498835,6.59652,0.03526873746510233,False,False,False
2,6236.1775121581195,6262.152970004653,6237.320744746404,6265.211095073797,gaia:4007129484155346048,179.0848124054354,26.679481514156443,179.08481114155182,26.679476936066685,6.7094803,0.016975162846075358,False,False,False
3,2086.85246782226,539.4157788522598,2083.9055525633858,536.495399826912,gaia:4004194097346057728,176.75348885515558,23.720774631138905,176.75349563906335,23.72077911887031,6.8307886,0.027584913611816798,False,False,False
4,662.4401287011888,1131.353169658969,657.1633035362647,1128.8864781316315,gaia:4004885655800704896,175.94623423172257,24.010452664909348,175.94624899645925,24.010457328128854,7.101652,0.05137405062268237,True,False,False
5,2244.6538155689004,1905.1387459174168,2242.603405348207,1904.04271673343,gaia:4005003853301006848,176.83045731690018,24.424216258810564,176.8304145183144,24.424201545113654,7.475255,0.14995358196857067,True,False,False
6,9054.208722405683,1934.100617512882,9058.863284228024,1933.2051421185806,gaia:4002887121618245504,180.67467080428767,24.445872533069082,180.67465611432644,24.445881024392612,7.4202256,0.05702801013165488,False,False,False
7,8435.452641941421,1483.867897142641,8439.214253410883,1482.4884235759375,gaia:4001377011117110784,180.32280502011142,24.217976670738626,180.32282149182592,24.217975211028453,7.7536383,0.05433414197416884,False,False,False
8,9066.062383493372,3646.959094335464,9070.770531697392,3647.703655371246,gaia:4006092919567224960,180.69328320307653,25.326053278384016,180.69327866097035,25.32605651671259,7.8511844,0.018824372294357503,False,False,False
9,7002.928644910208,3264.087652980362,7003.909593913508,3264.2891800615007,gaia:4006028185820957312,179.51835816966602,25.1378057596283,179.51836113632535,25.137795705217822,8.120489,0.03746492597550917,False,False,False
10,7514.75811312713,2274.601815318548,7516.646176046173,2274.1954125002435,gaia:4004452860536251648,179.80589155603562,24.628174875505632,179.80591437645228,24.62816409533554,8.258394,0.0841619069285876,False,False,False
11,9079.81990857765,2693.665207916731,9084.541579303866,2693.5006491362237,gaia:4002968107521561600,180.69437213705362,24.836091588895048,180.69435104043728,24.836066450183424,8.193013,0.11375677319689248,False,False,False
12,1475.2104165726969,3255.269657986766,1471.7467058035008,3255.1564374183367,gaia:4005104282520040064,176.3810889750535,25.110786094680293,176.38108597465117,25.110782048062532,8.2509165,0.017546551656776547,False,False,False
13,6097.9879676178,3944.678907943648,6098.249268181399,3944.9556872946278,gaia:4004750999986749568,179.00472137151658,25.488139250916845,179.00469246954,25.488148818703156,8.500068,0.10003740333165566,False,False,False
14,8451.155803669302,4399.487663289022,8454.853630399519,4400.891353066529,gaia:4006164697061764864,180.34775600851458,25.716280403293013,180.3477615566676,25.71629307298238,8.695113,0.04903238606416599,True,False,False
15,7465.825010705875,869.3076868687422,7468.208374227614,867.4259919547862,gaia:4001388281110523520,179.7743383710901,23.90601308656405,179.77434262919522,23.906005809077246,8.690912,0.029711620731280863,False,False,False
16,5649.177439959702,4473.434411067355,5649.347784965391,4473.833961340806,gaia:4004820063060838912,178.74878976833193,25.75948216507177,178.74878739879682,25.75947425900364,9.022675,0.02948049429712737,False,False,False
17,90.44777675166188,944.0514444027895,84.90839779457656,941.6942806374068,gaia:4004906065485481344,175.62724950237399,23.907381580742406,175.62723914857966,23.907355315835627,8.891636,0.10050644386771214,False,False,False
18,5454.6514872739035,680.7818107697226,5454.990759675117,679.2987973825088,gaia:4004292915953815936,178.6439407040051,23.8109378879962,178.64393865455483,23.81092522440851,9.068102,0.046085920270954,False,False,False
