,px,py,area (pixels),flux (noise-normed)
0,7877.311742227698,1883.6752973402458,46.0,3376.079716440758
1,9399.045409443714,4612.078247640666,39.0,1054.246605472176
2,6966.289262680427,6237.98382509707,39.0,1036.1589275920078
3,5279.055130515601,6260.632719175725,38.0,1019.3703830053263
4,2673.287712875819,2515.6735699160126,36.0,949.6615891642656
5,2205.4390869967147,3645.1499363638354,36.0,841.1690943988632
6,8618.23554733358,788.4278406563676,32.0,505.1442277946231
7,6097.443029699635,978.8306097807761,26.0,460.32196613287965
8,8079.514126080843,70.38305541269152,32.0,435.6768375633382
9,1794.9431540629112,3720.3274695297723,33.0,413.8032658318753
10,8274.652670464733,1783.0037978619262,32.0,411.96487387283975
11,7483.689837012139,4077.6646345994227,29.0,399.72946588446047
12,2662.1193630534526,2510.0219990856476,23.0,393.0087558498279
13,810.1072647711048,5805.371730147983,29.0,346.331163468815
14,8503.021027964824,3018.2167152210322,27.0,345.41377019108046
15,6686.809940434721,1030.6971144490835,25.0,316.5185046639613
16,6652.579987267076,5433.117741365837,24.0,313.0258404639096
17,8716.073499584507,1599.0598043164332,26.0,278.55822646517754
18,156.85570075370308,2795.1425466814712,27.0,273.2089497138371
19,7641.064566669465,505.4178914987544,24.0,241.50443981949599
20,1768.6198333355017,194.46237272688478,25.0,238.9443601033399
21,6969.645337115246,3534.4368724972787,17.0,237.67802449553898
22,7939.4377179639105,2641.8242114096984,19.0,237.4299409560681
23,9058.017920149276,2919.168454485765,25.0,235.51452765137108
24,5963.843952474089,410.4109131410614,18.0,209.26463805040854
25,6062.632604784841,4276.385223517661,13.0,183.20830358618903
26,7293.403060548688,3215.7637071827053,16.0,162.68582798076213
27,2656.6398144815453,3867.2222929593377,16.0,162.2155723441455
28,8083.72383531732,6019.116284622508,17.0,159.78150847882833
29,3198.711674526496,4428.072514583052,17.0,155.13598844563052
30,6892.488528272808,1879.4347005195407,14.0,142.6470177988523
31,4864.94200225997,1106.5193563073901,14.0,137.64737801388094
32,8213.709503119671,5820.673718790667,15.0,136.23751364692703
33,8753.054674430803,167.7581673047694,14.0,130.14327163309724
34,2006.8957501881373,1604.1315901673643,13.0,117.82439646051925
35,6791.243017642873,1919.8434302531236,12.0,117.49104607871425
36,8460.462989270754,4089.2893854331496,13.0,116.9684252492188
37,9274.721816578714,4990.101400362668,11.0,115.36649455200262
38,1136.9208716205221,4000.8263636123556,12.0,109.3442344339646
39,2457.9584185721383,3025.9590492358984,10.0,105.2478594217884
40,9226.445974930011,5158.748913504734,10.0,104.79683366693034
41,7440.8326607801855,3139.0507947142755,9.0,103.09667377953247
42,8934.8932405421,296.4237078281838,10.0,99.0135736946438
43,4203.096598039675,4119.759999053509,8.0,94.28545278960664
44,3266.308476424016,6017.199817502883,9.0,81.47489576441538
45,547.6042501347495,2988.27062384783,8.0,77.30963744809104
46,7798.739158080572,2995.431164404035,8.0,76.13499731633989
47,1060.8830243623347,1855.1861927083323,6.0,75.97309754171866
48,9207.943247513718,840.3870573692283,7.0,71.49536947024053
49,822.3687591706735,3341.5374207346895,7.0,71.4673635174501
50,4044.9310642811383,5851.813649554022,6.0,68.6515066338296
51,3639.1188304576544,557.4017954106267,4.0,61.469103442147365
52,2412.16593867581,3876.1159791575983,5.0,60.92557609976119
53,7618.123451114662,133.85905375016515,4.0,54.35096510432256
54,1432.055980865339,4457.533035340915,7.0,54.08304459665126
