,px,py,px_dist,py_dist,ID,RA(catalog),DEC(catalog),RA(obs),DEC(obs),magV,"error("")",flag_is_double,flag_missing_pm,flag_is_outlier
0,906.4950441627834,3476.359558358587,901.6384604746513,3476.465615136687,gaia:4005303195341066240,176.05511949821562,25.218353771582553,176.0551326562697,25.218338359015004,5.4400535,0.07010778967228402,False,False,False
1,5829.0336143212035,4010.992632460089,5829.187198023315,4011.226642039218,gaia:4004753370808695168,178.85161478099792,25.522091282433827,178.85160393142021,25.5220909394988,6.59652,0.03526873743136646,False,False,False
2,6236.1775121581195,6262.152970004653,6237.320744746432,6265.211095073781,gaia:4007129484155346048,179.08481240543546,26.679481514156404,179.0848111415519,26.679476936066635,6.7094803,0.01697516284006963,False,False,False
3,2086.85246782226,539.4157788522598,2083.9055525633803,536.495399826933,gaia:4004194097346057728,176.75348885515555,23.72077463113893,176.75349563906332,23.720779118870336,6.8307886,0.027584913583990726,False,False,False
4,662.4401287011888,1131.353169658969,657.1633035362565,1128.8864781316624,gaia:4004885655800704896,175.94623423172254,24.010452664909412,175.94624899645922,24.010457328128904,7.101652,0.051374050663117905,True,False,False
5,2244.6538155689004,1905.1387459174168,2242.6034053482067,1904.0427167334512,gaia:4005003853301006848,176.83045731690015,24.4242162588106,176.8304145183144,24.42420154511368,7.475255,0.14995358195822167,True,False,False
6,9054.208722405683,1934.100617512882,9058.863284228004,1933.2051421185563,gaia:4002887121618245504,180.67467080428764,24.445872533069004,180.6746561143264,24.445881024392534,7.4202256,0.05702801015395418,False,False,False
7,8435.452641941421,1483.867897142641,8439.21425341087,1482.488423575918,gaia:4001377011117110784,180.32280502011136,24.217976670738558,180.3228214918259,24.217975211028378,7.7536383,0.05433414203754223,False,False,False
8,9066.062383493372,3646.959094335464,9070.770531697392,3647.7036553712146,gaia:4006092919567224960,180.69328320307653,25.326053278383938,180.69327866097035,25.326056516712505,7.8511844,0.01882437228279617,False,False,False
9,7002.928644910208,3264.087652980362,7003.9095939135095,3264.289180061486,gaia:4006028185820957312,179.51835816966602,25.13780575962826,179.51836113632535,25.137795705217773,8.120489,0.037464925997582596,False,False,False
10,7514.75811312713,2274.601815318548,7516.646176046172,2274.1954125002285,gaia:4004452860536251648,179.8058915560356,24.628174875505586,179.80591437645225,24.62816409533548,8.258394,0.08416190696664662,False,False,False
11,9079.81990857765,2693.665207916731,9084.541579303856,2693.5006491361955,gaia:4002968107521561600,180.69437213705362,24.836091588894973,180.69435104043725,24.836066450183342,8.193013,0.11375677322816408,False,False,False
12,1475.2104165726969,3255.269657986766,1471.746705803509,3255.156437418365,gaia:4005104282520040064,176.3810889750535,25.110786094680343,176.3810859746512,25.11078204806257,8.2509165,0.017546551641488172,False,False,False
13,6097.9879676178,3944.678907943648,6098.2492681814,3944.9556872946187,gaia:4004750999986749568,179.00472137151664,25.488139250916813,179.00469246954003,25.488148818703117,8.500068,0.10003740345910236,False,False,False
14,8451.155803669302,4399.487663289022,8454.853630399528,4400.891353066502,gaia:4006164697061764864,180.3477560085146,25.71628040329294,180.3477615566676,25.716293072982303,8.695113,0.049032386057235755,True,False,False
15,7465.825010705875,869.3076868687422,7468.208374227603,867.4259919547726,gaia:4001388281110523520,179.77433837109007,23.906013086564,179.77434262919516,23.906005809077193,8.690912,0.029711620687207764,False,False,False
16,5649.177439959702,4473.434411067355,5649.347784965392,4473.833961340801,gaia:4004820063060838912,178.74878976833196,25.759482165071752,178.74878739879685,25.759474259003607,9.022675,0.029480494314991633,False,False,False
17,90.44777675166188,944.0514444027895,84.90839779456292,941.6942806374368,gaia:4004906065485481344,175.62724950237396,23.907381580742467,175.62723914857963,23.90735531583568,8.891636,0.10050644388762726,False,False,False
18,5454.6514872739035,680.7818107697226,5454.990759675106,679.2987973825061,gaia:4004292915953815936,178.64394070400505,23.810937887996182,178.6439386545548,23.810925224408486,9.068102,0.046085920268085875,False,False,False
19,1631.9192763091514,2688.5951059690556,1628.8072126604493,2687.9910742841043,gaia:4005078963688883584,176.4762079521615,24.821153628777456,176.47614776904408,24.821162856142863,9.030977,0.19943079798768512,False,False,False
