rank,gaia_G_mag,pred_px,pred_py,ra_deg,dec_deg
1,1.7732802629470825,2550.5684018948145,552.3311517160673,332.05907779469464,-46.96161734131188
2,2.089977502822876,1415.7912924477819,242.6415240534625,6.57215550145885,-42.30782032569077
3,2.223691940307617,3252.5341347755802,3450.706087195358,296.56498571046956,10.613252703828636
4,2.503657579421997,1075.0999543865614,2967.431811448798,346.19050678740496,15.205082982106333
5,2.712085247039795,2350.9528498897257,2420.3709965613857,322.8898027828743,-5.571211107815946
6,2.725079298019409,1110.350833524497,3688.4534253167603,340.7506395031158,30.221130397877182
7,2.727834939956665,1915.7362847432225,2525.867475963884,331.44606406642515,-0.31989739999996836
8,2.803014039993286,3991.7274728201596,2050.214077406349,287.440967928891,-21.02377872569698
9,2.836812973022461,2329.0988170598494,1921.1090740856805,326.76139246141946,-16.128607188133948
10,2.836822748184204,3097.959098080948,3796.1361292124902,296.84697410021977,18.53431498544213
11,2.83687424659729,3204.038024515673,2218.093890630597,305.2529803545091,-14.781406001156812
12,2.852149724960327,3261.0736224068833,713.0793578422097,309.3921343889334,-47.2912080024033
13,2.8534293174743652,358.2263489342686,2711.1807039032246,3.3089703843753013,15.183550741446307
14,2.859362840652466,2960.5612594395398,3799.1103125233394,299.6895907690142,19.4922471120651
15,2.859529495239258,1531.74233510494,2047.4536485463323,343.1537089468947,-7.579451402482835
16,2.9668314456939697,4038.2711402910195,1726.4763969031244,286.734746992432,-27.67154143141872
17,2.9805827140808105,2333.47326324618,626.4575758300039,337.43921411918564,-43.74920644105509
18,2.9821486473083496,2005.9830016864382,3992.247181678725,318.2340887866534,30.226696772221253
19,3.0011179447174072,3633.069962673428,3724.0263633803565,286.3525049765623,13.863053278714878
20,3.0138354301452637,2538.970984247713,996.9231937605043,328.4827688631597,-37.36494848913747
