centroid_px,centroid_py,gaia_px,gaia_py,gaia_G_mag,match_dist_px
3991.0790493379577,2049.925279892419,3991.7274728201596,2050.214077406349,2.803014039993286,0.7098288641095685
1416.1621174042386,243.5166553832607,1415.7912924477819,242.6415240534625,2.089977502822876,0.9504556763603297
2961.0373279813944,3798.97847678877,2960.5612594395398,3799.1103125233394,2.859362840652466,0.4939857462043141
671.639992658233,1626.7892589955518,671.7425681563129,1626.6259454554674,3.226717948913574,0.19285498484928515
3594.5477139783216,3170.068960515229,3594.5018867795443,3170.41439944534,3.280367374420166,0.34846547402043787
3261.0944050254493,713.8493088335433,3261.0736224068833,713.0793578422097,2.852149724960327,0.7702314238526776
2328.627356747487,261.2685347606618,2328.3425153171916,261.1050831971763,3.487226963043213,0.3284068422224186
3252.0009040794,3449.62756935946,3252.5341347755802,3450.706087195358,2.223691940307617,1.203135776917911
1379.8606258921138,2866.7337526938873,1379.7878825763569,2866.480901626458,3.4208996295928955,0.2631069217778415
1108.546021170944,3423.95358639985,1108.724559582774,3423.532579450104,3.2745838165283203,0.45729948199515025
4046.431807513605,2019.9935163896216,4046.877314636657,2020.2119906909218,3.480196237564087,0.4961931247194936
1633.2212037102388,187.82591957260732,1633.078413175125,187.86569610695415,3.6017847061157227,0.14822722288005952
3329.836955450212,3001.636836103614,3329.7701783712178,3001.7524218610265,3.747671365737915,0.13348874707497946
3221.7651575273885,3235.6474560891693,3221.58300604422,3235.7819900159548,3.4819748401641846,0.2264476546066109
2550.32082454584,552.9225964268333,2550.5684018948145,552.3311517160673,1.7732802629470825,0.6411718877323528
1456.373323301275,192.16080106354008,1456.4416346302128,191.76154363995147,3.9185051918029785,0.4050591659892031
1109.8632448386431,3688.706476435455,1110.350833524497,3688.4534253167603,2.725079298019409,0.5493428758482567
2638.45477574362,3458.1338887362413,2638.1768197370843,3458.2220199321628,3.9991369247436523,0.29159329427086594
3598.6273915432635,1008.5446012028128,3598.7270874838646,1008.4099434897605,3.793246030807495,0.1675469494106759
1538.636619018151,3602.7749287870342,1538.3679256432129,3602.4318508223405,3.6638712882995605,0.4357735875360026
358.9058208042162,2712.626749253177,358.2263489342686,2711.1807039032246,2.8534293174743652,1.59772625194959
3003.37362317337,1605.4869587485628,3003.256133403419,1605.3441629806953,3.3990402221679688,0.18491748798865576
2594.676330705931,3507.2721871012827,2594.346514670796,3507.3215800857542,3.7358906269073486,0.33349405384088876
2273.8346471684895,166.84032585493046,2273.5306202402753,166.76046365362254,3.8416972160339355,0.31434112724409924
615.382649638156,2395.604436709735,615.7540214545008,2395.170526812402,3.924175262451172,0.5711346819963357
2006.2422740193383,3992.056683277188,2005.9830016864382,3992.247181678725,2.9821486473083496,0.3217324720877834
3850.815251849877,2188.782377164319,3851.243998542426,2188.9908204514754,3.888251781463623,0.47673087830833194
3204.0309517106657,2217.8063543515746,3204.038024515673,2218.093890630597,2.83687424659729,0.287623254144515
836.354499989114,2419.824591323498,836.5682363231306,2419.4147394139113,3.999257802963257,0.4622356631318068
3044.6687739318763,1691.472493538979,3044.8137362457546,1691.4063760054987,4.030624866485596,0.15932859341145575
795.6364124479666,1825.869726127591,795.7621387865004,1825.8168429742827,3.292785167694092,0.1363955281706598
