centroid_px,centroid_py,RA_obs,DEC_obs,RA_catalog,DEC_catalog,magV,r_px,r_solar,total_offset_arcsec,radial_deflection_arcsec,einstein_pred_arcsec,residual_arcsec
3991.0790493379577,2049.925279892419,216.56841144471232,-12.463755825985645,216.56374258435093,-12.454076345081926,2.803014039993286,1943.080003159614,162.19407364584777,38.51765145933027,-14.465761170341933,0.010795708872959959,-14.476556879214893
1416.1621174042386,243.5166553832607,103.96879191830489,-40.65409564558759,103.97829558254762,-40.645976438950086,2.089977502822876,1911.9046134371633,159.59178066338748,39.091456296289664,-39.61623161807374,0.010971742985268308,-39.62720336105901
2961.0373279813944,3798.97847678877,222.27051437694925,44.323209190513595,222.27033130389847,44.33616375030269,2.859362840652466,1974.7310673772581,164.836072447924,46.638798116442246,7.101195391633488,0.010622674842930308,7.0905727167905575
671.639992658233,1626.7892589955518,77.82530317381921,4.523185354637863,77.82607133980073,4.515999002422102,3.226717948913574,1439.3697781137914,120.14803683604094,26.017335512659965,-8.412594871803334,0.014573687977852589,-8.427168559781187
3594.5477139783216,3170.068960515229,223.32894590985097,19.890996042909187,223.32772464330063,19.89963766631923,3.280367374420166,1910.7193890687608,159.49284682217512,31.383333937813724,1.1865025312858972,0.010978548786907408,1.1755239824989898
3261.0944050254493,713.8493088335433,189.15864780518714,-50.47093067621411,189.13299304399064,-50.47604710823449,2.852149724960327,1803.2071711935882,150.5185150625364,61.59768932302778,-12.532974539965046,0.011633120345842546,-12.54460766031089
2328.627356747487,261.2685347606618,136.27146554146535,-57.013032749119844,136.2560921374931,-57.0091389736559,3.487226963043213,1808.6351324220686,150.97160147267257,33.234475072396364,-0.09579407926990967,0.01159820776172232,-0.10739228703163199
3252.0009040794,3449.62756935946,224.76566916933376,32.22453423633861,224.7502599249044,32.233499493176524,2.223691940307617,1847.7494473581962,154.23657773049064,56.95377757395534,-41.71629525654393,0.011352689652253929,-41.727647946196186
1379.8606258921138,2866.7337526938873,65.4968782764974,70.55006335558075,65.49226201244618,70.53856359535651,3.4208996295928955,1056.7569167190215,88.21032016045322,41.76754392264865,-3.5948951627055465,0.01985028505525156,-3.6147454477607983
1108.546021170944,3423.95358639985,90.50581256133499,73.60865841971827,90.48538493770079,73.60816959718818,3.2745838165283203,1666.0798451047758,139.0721311821296,20.82735042376876,9.209561080283873,0.012590588675935951,9.196970491607937
4046.431807513605,2019.9935163896216,215.70668406499308,-13.02026545261714,215.70373845589165,-13.013096002367867,3.480196237564087,1998.6280425347563,166.83081674167704,27.80110561930666,-6.053029089653905,0.010495662816967866,-6.063524752470873
1633.2212037102388,187.82591957260732,109.57184992245026,-45.41970132255794,109.56761886330827,-45.416800784201385,3.6017847061157227,1905.8565159385632,159.08692982373597,14.944717023152682,0.5782692536126618,0.011006561016295057,0.5672626925963667
3329.836955450212,3001.636836103614,227.1257129678058,20.147305169605524,227.12601971331108,20.15178787225081,3.747671365737915,1597.6636678386285,133.36125027345437,16.17099430959693,7.2129207574033005,0.013129750931470814,7.19979100647183
3221.7651575273885,3235.6474560891693,226.94318328044145,28.382927112544483,226.944040206755,28.390119059153076,3.481974840164185,1669.7997260091913,139.382639569012,26.032865753024645,7.635970345394016,0.012562540108397314,7.623407805285619
2550.32082454584,552.9225964268333,153.24842095922477,-60.879618206271424,153.25095957538193,-60.8723847412521,1.7732802629470823,1577.2072322454947,131.65369699941053,26.41762188821008,-19.355491602539164,0.013300044282143021,-19.368791646821307
1456.373323301275,192.16080106354008,105.63794508816048,-41.56260784187363,105.64639996048439,-41.56386053742268,3.9185051918029785,1947.860687238874,162.59313010485522,23.2163074918544,-15.31092400799149,0.010769212689803017,-15.321693220681293
