,px,py,area (pixels),flux (noise-normed)
0,1580.4447498638215,1999.2233414780148,158.0,7787.065396043219
1,1416.162174850343,243.51680834402205,47.0,4222.540321417038
2,3252.000216139385,3449.6282476690926,42.0,2897.2200437630495
3,927.9181371912806,3528.9232514788127,49.0,2860.4754317098864
4,2550.321230123917,552.921996828509,53.0,2147.288322538015
5,633.3242320839068,1122.5193824433647,44.0,2087.2075751968714
6,3204.0289479458584,2217.8063254788717,41.0,1764.7674048533313
7,2016.9714087657933,2511.7526611406015,45.0,661.4262495716032
