,px,py,RA,DEC,magV
0,906.4950441627834,3476.359558358587,176.05476,25.218376,6.01
1,5829.0336143212035,4010.992632460089,178.8517,25.522108,6.97
2,6236.1775121581195,6262.152970004653,179.08496,26.679733,6.8
3,2086.85246782226,539.4157788522598,176.75333,23.720493,6.97
4,662.4401287011888,1131.353169658969,175.94594,24.01021,7.4
5,2244.6538155689004,1905.1387459174166,176.83022,24.42418,7.84
6,9054.208722405685,1934.1006175128819,180.67496,24.44569,7.74
7,8435.452641941421,1483.8678971426407,180.32323,24.217833,8.19
8,9066.062383493372,3646.9590943354638,180.6936,25.325968,8.13
9,7002.928644910208,3264.087652980362,179.51854,25.137794,8.27
10,7514.75811312713,2274.6018153185482,179.80618,24.628073,8.39
11,9079.81990857765,2693.665207916731,180.69463,24.835999,8.28
12,1475.2104165726969,3255.269657986766,176.38075,25.11078,8.42
13,6097.9879676178,3944.678907943648,179.00484,25.48826,8.64
14,8451.155803669302,4399.487663289022,180.34811,25.716429,8.99
15,7465.825010705875,869.3076868687422,179.77454,23.905787,9.07
16,5649.177439959702,4473.434411067355,178.7494,25.759499,9.33
17,90.44777675166188,944.0514444027895,175.62686,23.90713,9.05
18,5454.6514872739035,680.7818107697226,178.64392,23.81076,9.34
19,1631.9192763091514,2688.5951059690556,176.47606,24.821453,9.91
20,6924.111251407856,2929.282131376743,179.47331,24.96613,9.54
21,4878.471930573841,6365.161976989748,178.30385,26.730711,9.79
22,2376.9207329384035,5771.454692071387,176.86926,26.412388,9.43
23,4363.7666050852795,4414.187778731801,178.01608,25.72607,9.51
24,7891.524700106241,5026.552285827765,180.0316,26.041075,9.27
25,9494.931960401458,3223.9288821059613,180.93396,25.105707,9.41
26,7844.698351131086,948.069998628424,179.98819,23.94492,9.43
27,2573.2982341136963,1983.6657112695032,177.01537,24.467335,9.55
28,6527.949689937802,280.2650497098143,179.2467,23.605122,9.38
29,1064.952704627306,1232.758121510293,176.1713,24.067123,9.73
30,6659.048959442831,2200.9886237792894,179.32188,24.592033,9.56
31,1431.2534559743222,357.5106605566775,176.38724,23.62043,9.87
32,7484.615732458862,2361.929227330191,179.78879,24.673523,10.13
33,6301.499004375023,2970.511961082712,179.12006,24.987413,9.92
34,2581.5201112814466,1543.3812139450174,177.02313,24.241552,9.8
35,4702.802263417681,381.47826599956807,178.22226,23.654943,9.7
36,9142.454482478483,1411.999180444818,180.7209,24.176966,9.74
37,1811.9270800654258,2285.146680902983,176.58228,24.61594,9.96
38,1965.4368872251466,1042.1601024799434,176.68002,23.977776,9.65
39,6109.075892810391,24.124005193280937,179.01222,23.473337,9.7
40,4506.107150665998,3859.2598791647765,178.09927,25.44114,9.89
41,6630.597865472832,4593.563535464905,179.30896,25.821518,9.87
42,7404.300916895831,5964.14817717299,179.75562,26.524824,10.02
43,8380.99307541249,738.4397929696229,180.28874,23.83478,9.65
44,4700.428732749442,624.6163516434194,178.22014,23.780096,9.8
45,2706.0460145306233,6135.267157519187,177.05386,26.602566,10.13
46,804.8577527759971,3094.553482127695,176.00212,25.02106,10.0
47,1700.3261138540165,5778.386126204177,176.48065,26.410393,9.92
48,7028.185117916794,2016.8079309305988,179.53043,24.496971,9.87
49,5533.890514126349,4530.469041675796,178.68332,25.788456,10.11
50,7918.001085542263,6149.486266898551,180.05225,26.618387,9.92
51,6863.477471184014,114.97978794227674,179.4355,23.519365,10.06
52,6854.212823050012,4607.1845786941585,179.43596,25.827948,10.25
53,1851.7172401963544,2491.4101760166136,176.60245,24.721565,10.16
54,4043.7727500197516,3658.1176792912047,177.83757,25.33623,9.98
55,5461.90663909505,2653.139139583644,178.64487,24.824429,10.2
56,5261.359853757593,2392.557702905005,178.53229,24.690235,10.13
57,6447.818127761629,2438.2029963936093,179.20299,24.714022,9.97
58,8228.476208010075,3747.028668344077,180.21767,25.382223,9.94
59,7934.767353522157,4774.530877492376,180.0554,25.911573,10.19
60,988.7136933878096,1857.7688342617068,176.12077,24.387228,9.79
61,7945.802474822003,1901.9476581178626,180.04828,24.435028,10.12
62,4473.100153259988,1990.9996597738009,178.08775,24.481508,10.35
63,5724.864548502159,2399.465022681156,178.79404,24.694569,10.12
64,2652.752398939054,1994.761991656084,177.05916,24.473724,10.23
65,5271.855902788211,5714.547555367289,178.53136,26.396837,10.07
66,4867.42895641798,4159.314349010931,178.30348,25.596577,10.25
67,6329.569675119085,3857.699846393582,179.13739,25.44446,10.28
68,720.6741602256911,1264.2056380497022,175.97728,24.079346,10.04
69,5782.333149554504,4952.629814976016,178.82468,26.006128,10.17
70,1066.365606504055,5794.14129081081,176.11717,26.411758,10.26
71,6199.81095772744,4339.341485608647,179.06319,25.691124,10.09
72,5265.68854760918,2380.919071302927,178.53456,24.684158,9.75
73,4606.288856758571,5298.693163121958,178.1511,26.181725,10.44
74,5066.532882602801,5774.937365259979,178.41338,26.427588,10.15
75,4845.825836351661,5730.964351564578,178.28746,26.404118,10.32
76,3868.6634400927865,4854.132109635896,177.73117,25.949615,10.56
77,2513.183334077695,4658.9661870671525,176.95758,25.840267,10.77
78,9356.743842355167,3938.910691680673,180.86084,25.474321,10.22
79,4070.9047387923006,3380.235767666177,177.85452,25.193678,10.39
80,7048.6966513774605,5587.409053732617,179.54987,26.3317,10.4
81,478.72356969840985,400.32781563114077,175.85188,23.632057,10.26
82,6198.0985797588255,2559.074672698973,179.06215,24.775545,10.47
83,6495.535336441448,1442.7291773081668,179.2292,24.202423,10.3
84,5240.96676350959,4353.96101276982,178.51569,25.697765,10.46
85,3259.6285131697796,5419.646590772424,177.3786,26.237194,10.53
86,9099.815673071002,1818.8194846324839,180.69978,24.386213,10.33
87,119.64917571722617,3632.869920970935,175.60513,25.289707,10.41
88,1078.2135526201214,4091.196857839275,176.14429,25.536612,10.37
89,3383.576015827509,3100.567388976211,177.46547,25.046164,10.29
90,7333.063875925865,5234.080336435251,179.71222,26.149078,10.56
91,4178.879287044802,551.1677621461104,177.93004,23.739986,10.53
92,4978.656622246891,2685.957682320984,178.37122,24.840578,10.86
93,7267.924681330716,6095.603487519562,179.67632,26.592295,10.65
94,6018.522967094686,1680.2775578221692,178.96121,24.324108,10.54
95,8980.564514250344,335.5727111615811,180.6228,23.62397,10.71
96,8387.105417357052,788.3868176758156,180.29337,23.860615,10.35
97,2631.6843892213337,6296.85778027551,177.01111,26.684504,10.27
