,px,py,RA,DEC,magV
32,1432.3532630651216,357.50984968605144,176.38724,23.62043,9.87
33,6302.59524823118,2970.510864802833,179.12006,24.987413,9.92
34,2582.6179744061146,1543.3816892470725,177.02313,24.241552,9.8
35,4703.903911977296,381.4772937478647,178.22226,23.654943,9.7
36,9143.558736839888,1411.9997418026105,180.7209,24.176966,9.74
37,1813.026804604729,2285.1483040022317,176.58228,24.61594,9.96
38,1966.5349594543327,1042.1610782543635,176.68002,23.977776,9.65
39,6110.177953659541,24.120887034705902,179.01222,23.473337,9.7
40,4507.203213677294,3859.2614301091044,178.09927,25.44114,9.89
41,6631.698760913303,4593.562265919731,179.30896,25.821518,9.87
42,7405.402237467125,5964.147983059728,179.75562,26.524824,10.02
43,8382.091746913919,738.4403916562314,180.28874,23.83478,9.65
44,805.95455259452,3094.55503586591,176.00212,25.02106,10.0
45,4701.533041449914,624.6160826342675,178.22014,23.780096,9.8
46,2707.1465848298353,6135.266035218875,177.05386,26.602566,10.13
47,1701.4209122429702,5778.385645341106,176.48065,26.410393,9.92
48,7029.280933838392,2016.8067667697544,179.53043,24.496971,9.87
49,7919.101927389623,6149.484227913385,180.05225,26.618387,9.92
50,5534.990193039694,4530.46969252206,178.68332,25.788456,10.11
51,6864.581780732928,114.97917651247508,179.4355,23.519365,10.06
52,6855.313737700468,4607.184415595695,179.43596,25.827948,10.25
53,1852.8155670552906,2491.410747377233,176.60245,24.721565,10.16
54,4044.8712450155417,3658.117749706244,177.83757,25.33623,9.98
55,5262.456601133254,2392.557806009299,178.53229,24.690235,10.13
56,5463.007653698701,2653.1394941652193,178.64487,24.824429,10.2
57,6448.915138368019,2438.203010128984,179.20299,24.714022,9.97
58,8229.578362175906,3747.030169486718,180.21767,25.382223,9.94
59,7935.866040230538,4774.531766709479,180.0554,25.911573,10.19
60,989.8114768238092,1857.7684831240967,176.12077,24.387228,9.79
61,4474.199043395205,1990.999164470983,178.08775,24.481508,10.35
62,7946.90003168057,1901.9491156113118,180.04828,24.435028,10.12
63,5725.963146296854,2399.4648236963058,178.79404,24.694569,10.12
64,2653.852539168819,1994.7614613363096,177.05916,24.473724,10.23
65,5272.955991552817,5714.548255974073,178.53136,26.396837,10.07
66,4868.528760542451,4159.313871106392,178.30348,25.596577,10.25
67,6330.6718969712665,3857.699652595903,179.13739,25.44446,10.28
68,721.7727836316994,1264.2094622929799,175.97728,24.079346,10.04
69,5783.429603727366,4952.628532753961,178.82468,26.006128,10.17
70,1067.4643958023462,5794.142463279976,176.11717,26.411758,10.26
71,6200.904667404168,4339.342007026048,179.06319,25.691124,10.09
72,5266.782697968656,2380.919152257405,178.53456,24.684158,9.75
73,4607.386265615615,5298.693553163404,178.1511,26.181725,10.44
74,5067.634347244353,5774.936510781569,178.41338,26.427588,10.15
75,4846.9239627409015,5730.96425298569,178.28746,26.404118,10.32
76,3869.762287198496,4854.131813360031,177.73117,25.949615,10.56
77,2514.284489263951,4658.967018772759,176.95758,25.840267,10.77
78,9357.840729908623,3938.909641522793,180.86084,25.474321,10.22
79,4072.003025024538,3380.2355117575025,177.85452,25.193678,10.39
80,7049.798377275636,5587.409055661585,179.54987,26.3317,10.4
81,479.818301809124,400.3267698557993,175.85188,23.632057,10.26
82,6199.199451191124,2559.075987487663,179.06215,24.775545,10.47
83,6496.636766574738,1442.7296799566059,179.2292,24.202423,10.3
84,5242.065093892176,4353.96223317343,178.51569,25.697765,10.46
85,3260.7269054954886,5419.647605750196,177.3786,26.237194,10.53
86,9100.916086687153,1818.8206263217146,180.69978,24.386213,10.33
87,120.74673618401994,3632.8684126561707,175.60513,25.289707,10.41
88,1079.3172275964225,4091.1945404898647,176.14429,25.536612,10.37
89,3384.6757920481787,3100.567885525003,177.46547,25.046164,10.29
90,7334.163648928845,5234.080143265582,179.71222,26.149078,10.56
91,4979.754256276766,2685.9580797329627,178.37122,24.840578,10.86
92,4179.978288366001,551.1680722792817,177.93004,23.739986,10.53
93,7269.021520881281,6095.604028287574,179.67632,26.592295,10.65
94,8981.665399522491,335.56999036886646,180.6228,23.62397,10.71
95,6019.625838131372,1680.276972272731,178.96121,24.324108,10.54
96,8388.21170387896,788.3871191657122,180.29337,23.860615,10.35
97,2632.785482300737,6296.856787214888,177.01111,26.684504,10.27
