rank,centroid_px,centroid_py,centroid_flux,nearest_gaia_dist_px
1,1580.4447498638217,1999.2233414780148,7787.065396043219,68.54259787351465
10,927.9181371912806,3528.9232514788127,2860.4754317098864,209.2800901392054
23,633.3242320839068,1122.5193824433647,2087.2075751968714,249.95110310034272
44,3044.6679154176372,1691.470284345598,1699.800584342613,95.56487048573382
45,1599.9171280995322,2427.107508463472,1698.008711933555,163.12766440359746
46,2737.591016936078,3331.4500361826786,1679.1760426395392,161.10344027518445
