rank,centroid_px,centroid_py,centroid_flux,gaia_px,gaia_py,gaia_G_mag,match_dist_px
2,3991.079105492531,2049.9254460367015,4795.70537811167,3991.7274728201596,2050.214077406349,2.803014039993286,0.7097099823735722
3,1416.162174850343,243.51680834402205,4222.540321417038,1415.7912924477819,242.6415240534625,2.089977502822876,0.9506189277675356
4,2961.0349370937543,3798.97911822644,3393.097120444865,2960.5612594395398,3799.1103125233394,2.859362840652466,0.4915103901659946
5,671.639425416127,1626.788765756034,3121.284263255526,671.7425681563129,1626.6259454554674,3.226717948913574,0.1927404345996841
6,3594.5451284135675,3170.0689934509323,3092.9889819658047,3594.5018867795443,3170.41439944534,3.280367374420166,0.34810219747351767
7,3261.093610649912,713.8496102401873,2927.7243454867826,3261.0736224068833,713.0793578422097,2.852149724960327,0.7705117042911591
8,3252.000216139385,3449.6282476690926,2897.2200437630495,3252.5341347755802,3450.706087195358,2.223691940307617,1.2028329703067113
9,2328.6276183018504,261.2679831767525,2864.2785080326444,2328.3425153171916,261.1050831971763,3.487226963043213,0.32835973444879696
11,1379.860541780748,2866.7340190222435,2811.9794868653753,1379.7878825763569,2866.480901626458,3.4208996295928955,0.26333965905645185
12,1108.545931745084,3423.951382106586,2661.935931980346,1108.724559582774,3423.532579450104,3.2745838165283203,0.4553060173929047
13,4046.4313930427584,2019.9940161051425,2563.7577670190612,4046.877314636657,2020.2119906909218,3.480196237564087,0.49634563355669076
14,1589.0212910925504,1415.0896378178952,2539.9688004301815,1588.7367533499526,1415.146889252187,3.3279740810394287,0.29024033780846237
15,1531.4736968015543,2047.5202770019885,2526.1589683479824,1531.74233510494,2047.4536485463323,2.859529495239258,0.27677768903766753
16,1109.3978256371647,2410.0822169513544,2502.8744809816717,1110.0065429782264,2409.6318536221006,3.4492387771606445,0.7572079830838063
17,3221.7649616188824,3235.6470840050188,2444.294547796674,3221.58300604422,3235.7819900159548,3.4819748401641846,0.22651150729575598
18,3329.837895551704,3001.6372369135233,2431.3944463277267,3329.7701783712178,3001.7524218610265,3.747671365737915,0.13361582490234683
19,1642.448933413264,1695.3825013186272,2426.0301156715036,1642.4647459715993,1695.1902548722942,3.272364377975464,0.19289565347299437
20,1633.221135457532,187.82580424719535,2413.7344938367237,1633.078413175125,187.86569610695415,3.6017847061157227,0.14819247744229477
21,2550.321230123917,552.921996828509,2147.288322538015,2550.5684018948145,552.3311517160673,1.7732802629470825,0.6404622012460444
22,1109.957392210062,3688.674963589706,2122.227710012519,1110.350833524497,3688.4534253167603,2.725079298019409,0.4515254968260541
24,1456.3739941148413,192.16085321497468,2055.305273443495,1456.4416346302128,191.76154363995147,3.9185051918029785,0.4049979950875581
25,1538.636456442367,3602.775333941511,2043.148102018938,1538.3679256432129,3602.4318508223405,3.6638712882995605,0.4359924807256782
26,2638.4535317265436,3458.133802074088,2012.8274209902715,2638.1768197370843,3458.2220199321628,3.9991369247436523,0.2904340124602769
27,3598.6274356095387,1008.5450815436824,1999.7877780823096,3598.7270874838646,1008.4099434897605,3.793246030807495,0.1679070864331147
28,2612.744800318634,1713.7576597443056,1982.808673347853,2613.0266415650876,1713.7683062537994,3.530038595199585,0.28204225989532755
29,358.90574897304765,2712.625879397137,1962.3303554140427,358.2263489342686,2711.1807039032246,2.8534293174743652,1.5969084572691323
30,2370.4834103775897,2932.8902444631403,1956.8423789807575,2370.5534562867115,2932.622200298414,3.7822868824005127,0.2770453097030815
31,3003.3744872549987,1605.4867009593415,1953.3382737598365,3003.256133403419,1605.3441629806953,3.3990402221679688,0.18526928925302485
32,2594.676336485352,3507.2717658691927,1943.4132697276616,2594.346514670796,3507.3215800857542,3.7358906269073486,0.3335624162411807
33,1915.720264040307,2526.10239439818,1928.378110049579,1915.7362847432225,2525.867475963884,2.727834939956665,0.23546408153695247
34,1762.6411286936504,2424.1790971248784,1919.8400793400049,1763.0113932334914,2423.8066639978038,3.8492627143859863,0.5251687953469751
35,2273.8352326233658,166.8412824501071,1890.6315095873551,2273.5306202402753,166.76046365362254,3.8416972160339355,0.315151363311743
36,2006.243143771476,3992.0579969720498,1878.32788183983,2005.9830016864382,3992.247181678725,2.9821486473083496,0.321659381407872
37,615.3828334390945,2395.604420061818,1875.4120136411811,615.7540214545008,2395.170526812402,3.924175262451172,0.571002534731811
38,3850.814513498752,2188.780060473731,1820.6552155756265,3851.243998542426,2188.9908204514754,3.888251781463623,0.4784110899201695
39,2865.4053228698795,2384.1386955772614,1784.685522836522,2865.505953726596,2384.0781296075156,3.774703025817871,0.1174512920949315
40,1283.4930298163197,2025.9574260595937,1777.646978708664,1283.7270426247023,2025.7681194101076,3.4539875984191895,0.30099668108931166
41,1438.9556530863526,1404.3999270688437,1765.339148933169,1439.3624210021653,1404.3878083310228,3.626959800720215,0.40694840107925434
42,3204.0289479458584,2217.8063254788717,1764.7674048533313,3204.038024515673,2218.093890630597,2.83687424659729,0.2877083603344242
43,836.3537481186684,2419.8249780865312,1707.243665974259,836.5682363231306,2419.4147394139113,3.999257802963257,0.46292651508245114
47,795.637419504439,1825.870059735519,1675.1840549799358,795.7621387865004,1825.8168429742827,3.292785167694092,0.13559838861275872
48,3490.03142597837,1663.0579166216312,1621.8674837778278,3489.9904649575265,1662.9920389558865,3.2201929092407227,0.07757365578923826
49,2333.700022352452,626.4474924776036,1618.9509291338502,2333.47326324618,626.4575758300039,2.9805827140808105,0.22698318500020673
50,2333.314907035735,638.4542586440274,1611.9111194398656,2333.159619503654,638.4023074146785,3.699737310409546,0.16374720715362998
