,px,py,RA,DEC,magV
59,6863.511549289874,114.91275633318583,179.4355,23.519365,10.06
60,7934.793636575179,4774.559432910381,180.0554,25.911573,10.19
61,8228.515136692546,3747.036853542871,180.21767,25.382223,9.94
62,5271.85547731748,5714.576817729469,178.53136,26.396837,10.07
63,2652.7338636335926,1994.7445689646477,177.05916,24.473724,10.23
64,4867.418610933635,4159.317867026626,178.30348,25.596577,10.25
65,6329.571313368062,3857.7028582027783,179.13739,25.44446,10.28
66,7945.831983436196,1901.9344189027313,180.04828,24.435028,10.12
67,988.6516706765046,1857.7605848256635,176.12077,24.387228,9.79
68,5782.330102260348,4952.644201149918,178.82468,26.006128,10.17
69,6199.8204174873445,4339.342007588696,179.06319,25.691124,10.09
70,4606.2729749612645,5298.720197868714,178.1511,26.181725,10.44
71,5066.532560613201,5774.962523668338,178.41338,26.427588,10.15
72,5265.68956895568,2380.9170618260773,178.53456,24.684158,9.75
73,4845.8192462335155,5730.984955760966,178.28746,26.404118,10.32
74,720.6313130725644,1264.2057234849854,175.97728,24.079346,10.04
75,3868.650599844662,4854.144110944686,177.73117,25.949615,10.56
76,4070.9039074786524,3380.2251097860826,177.85452,25.193678,10.39
77,1066.3508522257616,5794.168860329157,176.11717,26.411758,10.26
78,2513.153777618675,4658.981031204532,176.95758,25.840267,10.77
79,6198.093495411368,2559.0680919131137,179.06215,24.775545,10.47
80,7048.723812566748,5587.446713806961,179.54987,26.3317,10.4
81,6495.544317719366,1442.7120929837754,179.2292,24.202423,10.3
82,5240.964392854109,4353.973336310456,178.51569,25.697765,10.46
83,9356.767041303367,3938.9154110942545,180.86084,25.474321,10.22
84,3383.5590529834867,3100.564643749945,177.46547,25.046164,10.29
85,3259.6071768461693,5419.679499228246,177.3786,26.237194,10.53
86,4978.6593368206495,2685.9561963853457,178.37122,24.840578,10.86
87,4178.858427545161,551.1308821423763,177.93004,23.739986,10.53
88,7333.07618875743,5234.096600185955,179.71222,26.149078,10.56
89,6683.935710604078,3452.0211580112687,179.3375,25.234861,10.72
90,6283.327204822103,5081.609882303279,179.11107,26.072235,10.51
91,9099.84478328508,1818.8108594600328,180.69978,24.386213,10.33
92,5252.401061126946,2034.8930717010132,178.52892,24.506142,10.77
93,6018.532720855062,1680.2521925917526,178.96121,24.324108,10.54
94,478.7126623877084,400.33879162104904,175.85188,23.632057,10.26
95,1078.1581739362405,4091.213365998051,176.14429,25.536612,10.37
96,7267.950933011706,6095.646342358584,179.67632,26.592295,10.65
97,3219.1914467120837,1742.0102905015433,177.38243,24.347792,10.64
