px,py,gaia_px,gaia_py,magV,ID,match_dist_px,LON(obs),LAT(obs),LON(catalog),LAT(catalog),r_solar
2352.1650499680377,1092.54319530637,2352.026133602823,1092.6241373103692,5.317730903625488,gaia_full_461,0.1607773756965484,7.2058040094925175,-21.420863241976992,7.202463827710086,-21.419096690051298,83.8348971374667
2012.97188104376,3051.0465629533187,2012.8938552666716,3050.9829629742235,7.2203850746154785,gaia_full_2306,0.1006627002974143,-0.807939786162913,22.59033073081582,-0.8097866389586771,22.588896491398156,83.85630331265979
3051.7501105634697,2073.378407041646,3052.034229364701,2073.370297643972,7.073012351989746,gaia_full_1284,0.2842345080100118,22.607661316999828,0.5782331305141609,22.614053715834363,0.5780467938027903,83.92320591263766
2365.964915667549,1095.824945644964,2365.8353687916074,1095.9082466464954,4.440128803253174,gaia_full_139,0.1540176935368559,7.528972175423014,-21.342224711399535,7.525850016997155,-21.340404273336134,83.9495818052352
1384.0971262765431,1295.967163316357,1384.1333539374132,1296.008795664093,7.920535087585449,gaia_full_2595,0.0551878228427214,-15.356883163544246,-16.701271213333822,-15.355993949443347,-16.70036762207527,84.16714983928476
1724.6538511946114,1093.212189869977,1724.8601536931208,1093.20987317861,7.505261421203613,gaia_full_1873,0.2063155058401631,-7.610831272578281,-21.39956513352196,-7.605963814094559,-21.399694637103163,84.25612412927379
1924.919146204477,3050.4836780418777,1924.8076362681857,3050.11822478427,7.8060832023620605,gaia_full_3720,0.3820870965997089,-2.8983472390031806,22.569162055904183,-2.9008767127020594,22.56092631781318,84.38775304695857
1936.6297755934104,1041.4208599460112,1936.751583083515,1041.4823711632066,7.360665321350098,gaia_full_3015,0.1364576655466791,-2.6209467920016163,-22.617976063318174,-2.6180364401328715,-22.616609247091993,84.46556685298799
2180.998091572738,1043.519742256257,2180.8581824373987,1043.5331364742683,7.632812976837158,gaia_full_2819,0.1405488215087205,3.1812577765247583,-22.56719741000094,3.1779316752710964,-22.56691938823879,84.54699834093532
1375.058878870087,1297.620727211164,1375.1896100797362,1297.639788275908,7.8653459548950195,gaia_full_2932,0.1321134866904643,-15.56404857798667,-16.65915715126989,-15.56099962991203,-16.65881200304981,84.57105730378909
1106.7165787845038,1677.317836817595,1106.820605199445,1677.2420169905365,5.678531169891357,gaia_full_288,0.128725060422353,-21.302162876042228,-8.128567620798403,-21.299867328132063,-8.130275697401654,84.58122846703239
1685.8474718405637,1102.486715530321,1685.9362206285423,1102.3916764792043,7.8310980796813965,gaia_full_2640,0.1300337210296417,-8.518504249503927,-21.17624984839228,-8.516495356362494,-21.178416731298263,84.68451885571328
1032.4468278774157,2032.8305265523452,1032.481335985094,2032.637629802764,7.120218276977539,gaia_full_1480,0.1959590913801469,-22.827674601630747,-0.3104453376093168,-22.826904418118907,-0.3146721684634027,84.69350238266674
2291.440858091694,1062.3077856071,2291.193769542346,1062.2536717969974,7.637089729309082,gaia_full_3147,0.2529447680077986,5.79089039174375,-22.1194049473539,5.785071984198463,-22.12069331541123,84.82548135499972
2058.3318126377853,3065.044152323453,2058.179722611306,3064.678938540479,7.984323024749756,gaia_full_3575,0.3956165863923565,0.26947776357440484,22.905912660856792,0.26584999454821884,22.897697536260374,84.95381682572692
1775.877256764528,3028.12789926338,1775.9943617849003,3027.776074763552,5.81754732131958,gaia_full_408,0.370801920809075,-6.420360333738823,22.03106811390021,-6.417344078467576,22.023208179460255,85.10182742421979
1810.156558583805,1056.39289347672,1810.483414370191,1056.5163877127552,6.541458606719971,gaia_full_812,0.3494074003622553,-5.614557011251971,-22.254472060488414,-5.606734523294015,-22.251792482107504,85.1320439070135
