,px,py,px_dist,py_dist,ID,RA(catalog),DEC(catalog),RA(obs),DEC(obs),magV,"error("")",flag_is_double,flag_missing_pm,flag_is_outlier
0,7877.311742227698,1883.6752973402456,7880.076337738412,1882.7226087481508,gaia:2577673177300873216,15.735659108880872,7.890147051585289,15.73556881861765,7.890153627996977,3.9971802,0.32283704200910196,False,False,False
1,9399.045409443714,4612.078247640666,9404.147553607898,4613.44402675593,gaia:2577273298665142528,14.957646344352545,6.483350991732434,14.957532464992697,6.483244246095805,5.23396,0.5600030896084841,False,False,False
2,6966.289262680427,6237.98382509707,6968.3435619355305,6241.103127640417,gaia:2576354759779353088,16.21970689878506,5.6565182475311016,16.21966010337525,5.656477286518321,5.452981,0.2232679584530252,False,False,False
3,5279.055130515601,6260.632719175725,5279.347333126176,6263.250145499559,gaia:2576176638895865984,17.09062128251268,5.648905038747899,17.090630151060054,5.648937950911167,5.4211965,0.12266968034980058,False,False,False
4,2673.287712875819,2515.6735699160126,2672.0473077627666,2515.330987298513,gaia:2577061092921353984,18.433574077024378,7.574935985044066,18.433704240463552,7.574807049598207,5.156254,0.6566666518663157,False,False,False
5,2205.4390869967147,3645.1499363638354,2203.41964343511,3645.4268395209283,gaia:2576836345872707712,18.6762256723006,6.995045200709593,18.676266022951175,6.994964350219882,5.760222,0.32481555634231746,False,False,False
6,8618.23554733358,788.4278406563676,8622.386349738006,786.211737990684,gaia:2580754558637186944,15.34658241688809,8.450271739205482,15.346565177290541,8.45019368968616,6.9080133,0.2876062791684096,False,False,False
7,6097.443029699635,978.8306097807758,6098.189643493845,977.6438352278415,gaia:2578078244255968128,16.656539045155153,8.359515831526647,16.65650811363751,8.359536739918862,6.859523,0.13342831006145237,False,False,False
8,8079.514126080843,70.38305541269165,8082.9732595852975,67.34055340582472,gaia:2581154815229445376,15.623637291827638,8.821056034859861,15.623630145300098,8.820998518950468,7.0194144,0.20861220882611842,False,False,False
9,1794.9431540629112,3720.327469529772,1792.048889545195,3720.741065295178,gaia:2576787585108311552,18.888905689296365,6.9562572469703365,18.888926446102907,6.956262901951603,7.063403,0.07691745110645462,False,False,False
10,8274.652670464733,1783.0037978619262,8278.192862533024,1781.8413403891554,gaia:2577716195692862336,15.528998332504246,7.940578885090715,15.528950906199228,7.940559132267258,7.2636786,0.1834412153703237,False,False,False
11,7483.689837012139,4077.6646345994222,7485.604874213324,4078.289147710125,gaia:2577250483798503296,15.946352013617398,6.764656830000154,15.946758003891789,6.764790465346386,10.116071,1.5290446567082745,True,True,False
12,2662.1193630534526,2510.0219990856476,2660.8614493841583,2509.67373246289,gaia:2577061264719259264,18.439795367850675,7.577969358871658,18.439493605221465,7.577712909291232,9.4903555,1.4184341774495546,True,False,False
13,810.1072647711048,5805.371730147983,804.8021445534296,5808.291735293749,gaia:2564560882663919488,19.398159063609913,5.884407440770479,19.39808596120598,5.884518536505271,7.3721995,0.4780015658422813,False,False,False
14,8503.021027964824,3018.216715221032,8506.825749266078,3018.149317173793,gaia:2577612120045309056,15.415348465362031,7.305276091134251,15.415216276841141,7.3053508498486615,7.525338,0.5433512806928378,False,False,False
15,6686.809940434721,1030.6971144490835,6688.128037516594,1029.3313673835032,gaia:2578083844893292672,16.350736866874147,8.3315260991664,16.350683606515354,8.331577465969154,7.6003184,0.26492807451593475,False,False,False
16,6652.579987267076,5433.117741365837,6653.883259127645,5434.765080967996,gaia:2576400870548269312,16.379922313354225,6.071131043586768,16.379889331745304,6.071077342471239,7.6104636,0.22652636795020206,False,False,False
17,8716.073499584507,1599.0598043164332,8720.39742377802,1597.6540780612756,gaia:2577732001172481024,15.299091596382038,8.033506246091529,15.299096095465048,8.033451915284719,7.8223214,0.19624732221569352,False,False,False
18,156.85570075370288,2795.1425466814712,150.39162283994847,2794.7061494964073,gaia:2578318384467341056,19.738663146156973,7.430398684070762,19.738693611920212,7.430251131667553,7.7123485,0.542207711489673,False,False,False
19,7641.064566669465,505.4178914987542,7643.939500714263,502.92836834340505,gaia:2578133288556750848,15.853185993322663,8.598941860704215,15.85315655448712,8.598932760547344,7.98484,0.10979018830146371,False,False,False
20,1768.6198333355014,194.46237272688495,1764.9536004072966,191.16273505752952,gaia:2578725650446422784,18.90445026939423,8.767602196224134,18.904440396697208,8.767433821216711,7.861326,0.6071669614403115,False,False,False
21,6969.645337115246,3534.4368724972787,6970.678316832253,3534.6338379559493,gaia:2577355796397037824,16.211404939987744,7.045297328127032,16.211354736296922,7.0452588180121465,7.8218937,0.22670062568938068,False,False,False
22,7939.4377179639105,2641.8242114096984,7942.126287743994,2641.4961766803854,gaia:2577619644828068224,15.706125925890019,7.50062177307286,15.70606988200247,7.500597240988719,7.801165,0.21866021132816588,False,False,False
23,9058.017920149276,2919.168454485765,9062.856876565538,2919.0130249766044,gaia:2577534570116038016,15.127209362405178,7.353985376483157,15.127164303772728,7.354095724661062,8.008845,0.42859261059389236,False,False,False
24,5963.843952474089,410.4109131410614,5964.681636876362,408.41284233917804,gaia:2578189466728921984,16.724512192868826,8.651921160140978,16.724424148338855,8.651927611375317,7.9317846,0.31421291540377505,False,False,False
